;Karta;Wyniki;Metadane;Przetworzone próbki
1;Not found;Not found;Not found;2
2;Not found;Not found;Not found;5
3;Not found;Not found;Not found;5
4;Not found;Not found;Not found;6
5;Not found;Not found;Not found;6
6;Not found;Not found;Not found;6
7;Not found;Not found;Not found;2
8;Not found;Not found;Not found;0
9;Not found;Not found;Not found;0
10;Not found;Not found;Not found;3
11;Not found;Not found;Not found;3
12;Not found;Not found;Not found;4
13;Not found;Not found;Not found;4
14;Not found;Not found;Not found;2
15;Not found;Not found;Not found;3
16;Not found;Not found;Not found;5
17;Not found;Not found;Not found;5
18;Not found;Not found;Not found;0
19;Not found;Not found;Not found;5
20;Not found;Not found;Not found;0
21;Not found;Not found;Not found;3
22;Not found;Not found;Not found;4
23;Not found;Not found;Not found;4
24;Not found;Not found;Not found;2
25;Not found;Not found;Not found;0
26;Not found;Not found;Not found;4
27;Not found;Not found;Not found;0
28;Not found;Not found;Not found;2
29;Not found;Not found;Not found;0
30;Not found;Not found;Not found;0
31;Not found;Not found;Not found;4
32;Not found;Not found;Not found;5
33;Not found;Not found;Not found;0
34;Not found;Not found;Not found;4
35;Not found;Not found;Not found;0
36;Not found;Not found;Not found;5
37;Not found;Not found;Not found;2
38;Not found;Not found;Not found;0
39;Not found;Not found;Not found;5
40;Not found;Not found;Not found;2
41;Not found;Not found;Not found;2
42;Not found;Not found;Not found;3
43;Not found;Not found;Not found;2
44;Not found;Not found;Not found;0
45;Not found;Not found;Not found;0
46;Not found;Not found;Not found;0
47;Not found;Not found;Not found;3
48;Not found;Not found;Not found;5
49;Not found;Not found;Not found;5
50;Not found;Not found;Not found;0
51;Not found;Not found;Not found;5
52;Not found;Not found;Not found;2
53;Not found;Not found;Not found;5
54;Not found;Not found;Not found;4
55;Not found;Not found;Not found;0
56;Not found;Not found;Not found;6
57;Not found;Not found;Not found;0
58;Not found;Not found;Not found;0
59;Not found;Not found;Not found;0
60;Not found;Not found;Not found;3
61;Not found;Not found;Not found;6
62;Not found;Not found;Not found;0
63;Not found;Not found;Not found;6
64;Not found;Not found;Not found;4
65;Not found;Not found;Not found;0
66;Not found;Not found;Not found;0
67;Not found;Not found;Not found;0
68;Not found;Not found;Not found;0
69;Not found;Not found;Not found;0
70;Not found;Not found;Found;6
71;Not found;Not found;Found;0
72;Not found;Not found;Found;0
73;Not found;Not found;Found;0
74;Not found;Not found;Found;0
75;Not found;Not found;Found;0
76;Not found;Not found;Found;4
77;Not found;Not found;Found;6
78;Not found;Not found;Found;5
79;Not found;Not found;Found;0
80;Not found;Not found;Found;0
81;Not found;Not found;Found;6
82;Not found;Not found;Found;6
83;Not found;Not found;Found;0
84;Not found;Not found;Found;0
85;Not found;Not found;Found;0
86;Not found;Not found;Found;0
87;Not found;Not found;Found;0
88;Not found;Not found;Found;0
89;Not found;Not found;Found;0
90;Not found;Not found;Found;0
91;Not found;Not found;Found;0
92;Not found;Not found;Found;0
93;Not found;Not found;Found;0
94;Not found;Not found;Found;6
95;Not found;Not found;Found;0
96;Not found;Not found;Found;0
97;Not found;Not found;Found;0
98;Not found;Not found;Found;0
99;Not found;Not found;Found;0
100;Not found;Not found;Found;4
101;Not found;Not found;Found;0
102;Not found;Not found;Found;0
103;Not found;Not found;Found;0
104;Not found;Not found;Found;0
105;Not found;Not found;Found;0
106;Not found;Not found;Found;0
107;Not found;Not found;Found;0
108;Not found;Not found;Found;0
109;Not found;Not found;Found;0
110;Not found;Not found;Found;0
111;Not found;Not found;Found;0
112;Not found;Not found;Found;5
113;Not found;Not found;Found;0
114;Not found;Not found;Found;0
115;Not found;Not found;Found;0
116;Not found;Not found;Found;0
117;Not found;Not found;Found;0
118;Not found;Not found;Found;0
119;Not found;Not found;Found;0
120;Not found;Not found;Found;0
121;Not found;Not found;Found;4
122;Not found;Not found;Found;0
123;Not found;Not found;Found;0
124;Not found;Not found;Found;0
125;Not found;Not found;Found;0
126;Not found;Not found;Found;6
127;Not found;Not found;Found;0
128;Not found;Not found;Found;0
129;Not found;Not found;Found;0
130;Not found;Not found;Found;0
131;Not found;Not found;Found;0
132;Not found;Not found;Found;6
133;Not found;Not found;Found;0
134;Not found;Not found;Found;0
135;Not found;Not found;Found;0
136;Not found;Not found;Found;0
137;Not found;Not found;Found;0
138;Not found;Not found;Found;0
139;Not found;Not found;Found;0
140;Not found;Not found;Found;4
141;Not found;Not found;Found;0
142;Not found;Not found;Found;6
143;Not found;Not found;Found;0
144;Not found;Not found;Found;0
145;Not found;Not found;Found;0
146;Not found;Not found;Found;0
147;Not found;Not found;Found;0
148;Not found;Not found;Found;0
149;Not found;Not found;Found;0
150;Not found;Not found;Found;0
151;Not found;Not found;Found;0
152;Not found;Not found;Found;0
153;Not found;Not found;Found;0
154;Not found;Not found;Found;0
155;Not found;Not found;Found;0
156;Not found;Not found;Found;0
157;Not found;Not found;Found;0
158;Not found;Not found;Found;0
159;Not found;Not found;Found;0
160;Not found;Not found;Found;0
161;Not found;Not found;Found;0
162;Not found;Not found;Found;0
163;Not found;Not found;Found;0
164;Not found;Not found;Found;0
165;Not found;Not found;Found;0
166;Not found;Not found;Found;0
167;Not found;Not found;Found;0
168;Not found;Not found;Found;0
169;Not found;Not found;Found;0
170;Not found;Not found;Found;0
171;Not found;Not found;Found;0
172;Not found;Not found;Found;0
173;Not found;Not found;Found;0
174;Not found;Not found;Found;0
175;Not found;Not found;Found;0
176;Not found;Not found;Found;0
177;Not found;Not found;Found;0
178;Not found;Not found;Found;0
179;Not found;Not found;Found;0
180;Not found;Not found;Found;0
181;Not found;Not found;Found;0
182;Not found;Not found;Found;0
183;Not found;Not found;Found;0
184;Not found;Not found;Found;0
185;Not found;Not found;Found;0
186;Not found;Not found;Found;0
187;Not found;Not found;Found;0
188;Not found;Not found;Found;0
189;Not found;Not found;Found;0
190;Not found;Not found;Found;0
191;Not found;Not found;Found;0
192;Not found;Not found;Found;0
193;Not found;Not found;Found;0
194;Not found;Not found;Found;0
195;Not found;Not found;Found;0
196;Not found;Not found;Found;0
197;Not found;Not found;Found;0
198;Not found;Not found;Found;0
199;Not found;Not found;Found;0
200;Not found;Not found;Found;0
201;Not found;Not found;Found;6
202;Not found;Not found;Found;0
203;Not found;Not found;Found;0
204;Not found;Not found;Found;0
205;Not found;Not found;Found;0
206;Not found;Not found;Found;4
207;Not found;Not found;Found;0
208;Not found;Not found;Found;0
209;Not found;Not found;Found;0
210;Not found;Not found;Found;0
211;Not found;Not found;Found;0
212;Not found;Not found;Found;0
213;Not found;Not found;Found;0
214;Not found;Not found;Found;0
215;Not found;Not found;Found;0
216;Not found;Not found;Found;0
217;Not found;Not found;Found;0
218;Not found;Not found;Found;6
219;Not found;Not found;Found;0
220;Not found;Not found;Found;0
221;Not found;Not found;Found;0
222;Not found;Not found;Found;4
223;Not found;Not found;Found;6
224;Not found;Not found;Found;0
225;Not found;Not found;Found;0
226;Not found;Not found;Found;0
227;Not found;Not found;Found;0
228;Not found;Not found;Found;4
229;Not found;Not found;Found;0
230;Not found;Not found;Found;0
231;Not found;Not found;Found;0
232;Not found;Not found;Found;0
233;Not found;Not found;Found;0
234;Not found;Not found;Found;0
235;Not found;Not found;Found;5
236;Not found;Not found;Found;0
237;Not found;Not found;Found;0
238;Not found;Not found;Found;0
239;Not found;Not found;Found;0
240;Not found;Not found;Found;0
241;Not found;Not found;Found;5
242;Not found;Not found;Found;4
243;Not found;Not found;Found;0
244;Not found;Not found;Found;0
245;Not found;Not found;Found;0
246;Not found;Not found;Found;0
247;Not found;Not found;Found;0
248;Not found;Not found;Found;0
249;Not found;Not found;Found;0
250;Not found;Not found;Found;6
251;Not found;Not found;Not found;0
252;Not found;Not found;Not found;0
253;Not found;Not found;Not found;0
254;Not found;Not found;Not found;0
255;Not found;Not found;Not found;0
256;Not found;Not found;Not found;0
257;Not found;Not found;Not found;0
258;Not found;Not found;Not found;0
259;Not found;Not found;Not found;0
260;Not found;Not found;Not found;0
261;Not found;Not found;Not found;0
262;Not found;Not found;Not found;0
263;Not found;Not found;Not found;0
264;Not found;Not found;Not found;0
265;Not found;Not found;Not found;0
266;Not found;Not found;Not found;0
267;Not found;Not found;Not found;0
268;Not found;Not found;Not found;0
269;Not found;Not found;Not found;0
270;Not found;Not found;Not found;0
271;Not found;Not found;Not found;0
272;Not found;Not found;Not found;0
273;Not found;Not found;Not found;0
274;Not found;Not found;Not found;0
275;Not found;Not found;Not found;0
276;Not found;Not found;Not found;0
277;Not found;Not found;Not found;0
278;Not found;Not found;Not found;0
279;Not found;Not found;Not found;0
280;Not found;Not found;Not found;0
281;Not found;Not found;Not found;0
282;Not found;Not found;Not found;0
283;Not found;Not found;Not found;0
284;Not found;Not found;Not found;0
285;Not found;Not found;Not found;0
286;Not found;Not found;Not found;0
287;Not found;Not found;Not found;0
288;Not found;Not found;Not found;0
289;Not found;Not found;Not found;0
290;Not found;Not found;Not found;0
291;Not found;Not found;Not found;0
292;Not found;Not found;Not found;0
293;Not found;Not found;Not found;0
294;Not found;Not found;Not found;0
295;Not found;Not found;Not found;0
296;Not found;Not found;Not found;0
297;Not found;Not found;Not found;0
298;Not found;Not found;Not found;0
299;Not found;Not found;Not found;0
300;Not found;Not found;Not found;0
301;Not found;Not found;Not found;0
302;Not found;Not found;Not found;0
303;Not found;Not found;Not found;0
304;Not found;Not found;Not found;0
305;Not found;Not found;Not found;0
306;Not found;Not found;Not found;0
307;Not found;Not found;Not found;0
308;Not found;Not found;Not found;0
309;Not found;Not found;Not found;0
310;Not found;Not found;Not found;0
